Freq.	V(vout)
2.08929613085404e+00	(-1.28421221097739e+01dB,-9.65777518211831e+00°)
2.13796208950223e+00	(-1.28476072054047e+01dB,-9.87866259525327e+00°)
2.18776162394955e+00	(-1.28533433843658e+01dB,-1.01044107574186e+01°)
2.23872113856834e+00	(-1.28593417858854e+01dB,-1.03351133573487e+01°)
2.29086765276777e+00	(-1.28656140096681e+01dB,-1.05708649634463e+01°)
2.34422881531992e+00	(-1.28721721318042e+01dB,-1.08117609626933e+01°)
2.39883291901949e+00	(-1.28790287224776e+01dB,-1.10578974928125e+01°)
2.45470891568503e+00	(-1.28861968620545e+01dB,-1.13093713664770e+01°)
2.51188643150958e+00	(-1.28936901567177e+01dB,-1.15662799931753e+01°)
2.57039578276886e+00	(-1.29015227561414e+01dB,-1.18287212874669e+01°)
2.63026799189538e+00	(-1.29097093700122e+01dB,-1.20967935785697e+01°)
2.69153480392691e+00	(-1.29182652864207e+01dB,-1.23705955009373e+01°)
2.75422870333816e+00	(-1.29272063868698e+01dB,-1.26502258868948e+01°)
2.81838293126445e+00	(-1.29365491655324e+01dB,-1.29357836433847e+01°)
2.88403150312660e+00	(-1.29463107447135e+01dB,-1.32273676250479e+01°)
2.95120922666638e+00	(-1.29565088923450e+01dB,-1.35250764942665e+01°)
3.01995172040201e+00	(-1.29671620388672e+01dB,-1.38290085730222e+01°)
3.09029543251359e+00	(-1.29782892927833e+01dB,-1.41392616848003e+01°)
3.16227766016837e+00	(-1.29899104578409e+01dB,-1.44559329839953e+01°)
3.23593656929628e+00	(-1.30020460472682e+01dB,-1.47791187798205e+01°)
3.31131121482591e+00	(-1.30147172989497e+01dB,-1.51089143433189e+01°)
3.38844156139202e+00	(-1.30279461903425e+01dB,-1.54454137059298e+01°)
3.46736850452531e+00	(-1.30417554514530e+01dB,-1.57887094435254e+01°)
3.54813389233575e+00	(-1.30561685767890e+01dB,-1.61388924564257e+01°)
3.63078054770101e+00	(-1.30712098374557e+01dB,-1.64960517292608e+01°)
3.71535229097172e+00	(-1.30869042895184e+01dB,-1.68602740815718e+01°)
3.80189396320560e+00	(-1.31032777867670e+01dB,-1.72316439052967e+01°)
3.89045144994280e+00	(-1.31203569823804e+01dB,-1.76102428963506e+01°)
3.98107170553496e+00	(-1.31381693379780e+01dB,-1.79961497635448e+01°)
4.07380277804112e+00	(-1.31567431275948e+01dB,-1.83894399333806e+01°)
4.16869383470335e+00	(-1.31761074368443e+01dB,-1.87901852431720e+01°)
4.26579518801592e+00	(-1.31962921634181e+01dB,-1.91984536170348e+01°)
4.36515832240165e+00	(-1.32173280139338e+01dB,-1.96143087391751e+01°)
4.46683592150962e+00	(-1.32392464972595e+01dB,-2.00378097084549e+01°)
4.57088189614874e+00	(-1.32620799174757e+01dB,-2.04690106886129e+01°)
4.67735141287197e+00	(-1.32858613593132e+01dB,-2.09079605503979e+01°)
4.78630092322637e+00	(-1.33106246764027e+01dB,-2.13547025005962e+01°)
4.89778819368445e+00	(-1.33364044693088e+01dB,-2.18092737084488e+01°)
5.01187233627271e+00	(-1.33632360656433e+01dB,-2.22717049285675e+01°)
5.12861383991364e+00	(-1.33911554920584e+01dB,-2.27420201130191e+01°)
5.24807460249771e+00	(-1.34201994469521e+01dB,-2.32202360245482e+01°)
5.37031796370252e+00	(-1.34504052622064e+01dB,-2.37063618504515e+01°)
5.49540873857623e+00	(-1.34818108669007e+01dB,-2.42003988169396e+01°)
5.62341325190348e+00	(-1.35144547421661e+01dB,-2.47023398014685e+01°)
5.75439937337156e+00	(-1.35483758754658e+01dB,-2.52121689559275e+01°)
5.88843655355588e+00	(-1.35836137038768e+01dB,-2.57298613389593e+01°)
6.02559586074356e+00	(-1.36202080598211e+01dB,-2.62553825540652e+01°)
